date,amount_weekly
2019-08-10,2377.8063818314567
2019-08-11,2377.781497846108
2019-08-12,2379.9999748351192
2019-08-13,2384.4680974358516
2019-08-14,2388.9405577581956
2019-08-15,2395.560075428525
2019-08-16,2391.2461496226642
2019-08-17,2386.9359560439098
2019-08-18,2382.6294951098434
2019-08-19,2380.5747131428107
2019-08-20,2380.7657892307225
2019-08-21,2380.9528367472058
2019-08-22,2381.1358552746783
2019-08-23,2376.8344778021506
2019-08-24,2372.5368345054476
2019-08-25,2368.2429258021507
2019-08-26,2366.187111988964
2019-08-27,2366.363569230722
2019-08-28,2366.5359959523335
2019-08-29,2366.7043917362166
2019-08-30,2362.4155694175347
2019-08-31,2358.130483223396
2019-09-01,2358.1249721428094
2019-09-02,2360.344259868084
2019-09-03,2364.794633333285
2019-09-04,2369.2493460512337
2019-09-05,2373.708398439512
2019-09-06,2373.697337875409
2019-09-07,2373.682232454164
2019-09-08,2373.6630817581927
2019-09-09,2375.883401329621
2019-09-10,2380.349481025592
2019-09-11,2384.8199019230274
2019-09-12,2389.294664439511
2019-09-13,2389.2699613369464
2019-09-14,2389.241211428522
2019-09-15,2391.3473654285212
2019-09-16,2389.2907408790707
2019-09-17,2389.488203076873
2019-09-18,2389.681633223393
2019-09-19,2389.871030901049
2019-09-20,2385.5595821537954
2019-09-21,2381.2518710622207
2019-09-22,2376.9478980439053
2019-09-23,2374.890241648301
2019-09-24,2375.073072820462
2019-09-25,2375.251869992623
2019-09-26,2375.426632747202
2019-09-27,2371.1277513332825
2019-09-28,2366.8326095237585
2019-09-29,2362.5412077362125
2019-09-30,2360.482519494454
2019-10-01,2362.7928641025123
2019-10-02,2367.2476082636845
2019-10-03,2371.706695714234
2019-10-04,2371.699439897384
2019-10-05,2371.6881356043436
2019-10-06,2371.67278241753
2019-10-07,2373.895018274673
2019-10-08,2378.361138461486
2019-10-09,2382.831603468812
2019-10-10,2387.306413714233
2019-10-11,2387.2855026922543
2019-10-12,2387.260541245368
2019-10-13,2387.23152895599
2019-10-14,2389.4547966592872
2019-10-15,2396.079826666613
2019-10-16,2396.2775554211917
2019-10-17,2396.4712480878584
2019-10-18,2392.15166454207
2019-10-19,2387.8358222710085
2019-10-20,2383.5237216922533
2019-10-21,2381.4641490109348
2019-10-22,2381.6512697435355
2019-10-23,2381.834352857088
2019-10-24,2382.013397934011
2019-10-25,2377.706394388224
2019-10-26,2373.4031340658794
2019-10-27,2369.103617384561
2019-10-28,2367.043012857088
2019-10-29,2367.2154830768686
2019-10-30,2367.3839137288824
2019-10-31,2367.5483043955496
2019-11-01,2367.546810263681
2019-11-02,2367.5412641757694
2019-11-03,2367.53166571423
2019-11-04,2369.7557441537906
2019-11-05,2374.219799999944
2019-11-06,2378.688204146464
2019-11-07,2383.160957010933
2019-11-08,2383.1457954944494
2019-11-09,2383.126580073204
2019-11-10,2383.103310329614
2019-11-11,2386.521084825635
2019-11-12,2389.8082143589177
2019-11-13,2394.292358351591
2019-11-14,2398.7808530109314
2019-11-15,2400.8995123808945
2019-11-16,2396.5735808790632
2019-11-17,2392.251394549393
2019-11-18,2390.189979285656
2019-11-19,2390.383495384558
2019-11-20,2390.572970384557
2019-11-21,2390.758403868074
2019-11-22,2386.441319791151
2019-11-23,2382.1279824175244
2019-11-24,2377.818392164777
2019-11-25,2375.755945054887
2019-11-26,2375.93479846148
2019-11-27,2376.1096088204545
2019-11-28,2376.2803757142274
2019-11-29,2371.975890637304
2019-11-30,2367.6751542123957
2019-12-01,2365.522793142798
2019-12-02,2367.7487878680727
2019-12-03,2372.2128666666076
2019-12-04,2376.6812973845563
2019-12-05,2381.154080439501
2019-12-06,2381.142728542065
2019-12-07,2381.1273191208193
2019-12-08,2381.107851758182
2019-12-09,2383.33487832961
2019-12-10,2387.814707692248
2019-12-11,2392.298890923016
2019-12-12,2454.3103267220476
2019-12-13,2396.7623896702685
2019-12-14,2396.7332914285107
2019-12-15,2398.8457914285095
2019-12-16,2396.7824598790594
2019-12-17,2396.980283076862
2019-12-18,2397.174061556715
2019-12-19,2397.3637949010376
2019-12-20,2393.0385711537847
2019-12-21,2388.717097728876
2019-12-22,2384.399375043894
2019-12-23,2382.3350116482898
2019-12-24,2382.518159487118
2019-12-25,2382.6972606592785
2019-12-26,2382.8723147471906
2019-12-27,2378.5597026666046
2019-12-28,2374.250842857081
2019-12-29,2369.9457357362016
2019-12-30,2367.880340494443
2019-12-31,2368.0488061537844
2020-01-01,2372.5151545750286
2020-01-02,2376.985858813124
2020-01-03,2376.9802778570797
2020-01-04,2376.9706358973735
2020-01-05,2376.95693251642
2020-01-06,2379.1858016702663
2020-01-07,2383.663557435834
2020-01-08,2388.145670549387
2020-01-09,2392.6321414285076
2020-01-10,2392.612861421181
2020-01-11,2392.589518461474
2020-01-12,2392.5621121318036
2020-01-13,2394.7920131318033
2020-01-14,2399.285538461474
2020-01-15,2405.935422571363
2020-01-16,2406.1315657581767
2020-01-17,2401.796240043891
2020-01-18,2397.4646681318027
